ModelAircraftName,ModelVariantName,EngineModelName,NumberOfEngines
Glide Ranger,B-90,Lycoming IO-360,2
Strato Aero 71,ER-52,HelixBoost 240,2
Pinnacle Aero Pinnacle-3,100-27,ZenithPower B3,3
Raptor X1,B-69,Raptor RT-620,1
Boeing 777-300ER,Max-65,Pratt & Whitney R-987,3
Solaris Aero 360,Mk.I-98,AeroTech V2-200,4
Glimmer Star,B-3,PearlFusion X2,4
Aurora Skyhawk,B-19,Strato ST-580,4
Arcadia,ER-80,Pratt & Whitney JT8D-200,4
Stroukoff S-3,100-57,PW1000G-C,4
Eclipse Guardian,200-17,StratoEngine C4,2
AeroSpace Voyager,Mk.I-76,Rolls-Royce RB.211-535,4
Aether Aero 880,ER-32,Aether AE-880,2
Cyclone Mk II,200-96,Quantum Q-1500,2
Condor C-210,A-12,NimbusCore Beta,3
Helios Aero 330,100-67,Airbus EB200,1
Spitfire Mk IX,200-53,Lycoming IO-360,1
Vigilant Apex,Neo-86,Zenith ZN-200,4
Boeing 737 MAX 10,200-84,CFM56-B1,4
Rockwell Commander 310,B-55,EpsilonCore J3,2
Skyward Orion,100-84,LEAP-1C,1
MiG-23,Max-26,AeroTech V6-600,1
Celestial 12,ER-42,Lycoming IO-360,1
Aurora Eclipse,A-81,GE95-3,3
Tu-95 Bear,100-76,AeroTech V6-600,2
Titanium Tempest,100-51,AlphaCore F2,4
Eclipse V,Max-92,Upsilon UV-480,1
Aurora Sky,A-63,Orion OX-910,2
AstraJet Astra-7,Neo-66,Rolls-Royce Eagle V,1
VortexPilot 4,ER-42,PW4056-2,1
Specter Classic,Mk.I-9,ZenithPower B5,3
Aurora Mist,B-21,NebulaDrive E6,2
de Havilland DH.60 Moth,Max-17,Trent 800-B4,2
Electra E-9,Max-62,Pratt & Whitney JT8D-200,4
AeroRanger 88,B-2,PearlFusion X8,2
Bombardier CRJ700,100-84,GE95-1B,4
Skyward Tempest,ER-19,BetaBoost G6,1
Lockheed Martin C-130J,200-27,CFM56-7B,1
AeroSpectra 3,Max-72,Eclipse EX-490,2
Falcon 900E,A-66,GE9X-117B,1
Valkyrie Vengeance,ER-76,GE9X-117B-12,3
CycloneEdge 8,ER-64,Pioneer PR-880,4
Embraer ERJ-190,200-75,Kite KS-450,1
Douglas DC-8,100-41,LEAP-1D,2
Beechcraft Bonanza G36,Mk.I-60,GE408,1
Aurorae 300,Max-57,Rolls-Royce RB.211-524,1
Cessna Citation X+,Neo-57,Raptor RT-450,2
Panavia Tornado,LR-91,Rotax 912 iS-155,1
SkylineRacer 9,100-72,CFM LEAP-1B,1
Mirage Veil,Mk.I-38,Upsilon UV-480,4
Kestrel Aero 15,200-79,Yield Y-610,1
F-81 Sentinel II,A-23,Vivid V-420,4
Eclipse Aero Eclipse-5,Max-87,TRB1000,2
F-44 Comet,Mk.I-5,Lycoming IO-540,3
MiG-35 Fulcrum,LR-55,Vivid V-750,4
SkyRider-2,ER-7,TitanForce 405,1
Cessna 208 Grand Caravan,LR-89,TRB1000,3
Miles Magister,LR-69,Safran Silvercrest-2,3
Bell 429 GlobalRanger,200-90,Nimbus NX-150,2
Diamond DA40 Diamond Star,ER-44,GE90-115B,1
P-51 Mustang,LR-95,Thielert PD 300,1
AeroVista 2023,ER-5,Titanium Ti-950,2
Saab J 29 Tunnan,Neo-80,Vivid V-850,2
Valkyrie Horizon,A-47,DeltaDrive I6,2
Quasar Aero 520,Max-32,Rotax 915 iS-250,4
Eurofighter EFA,Neo-91,SkyPower 400,3
Lockheed L-188 Electra,Max-72,GE9X-117B-3,4
Zivko Edge 540,A-57,Solaris SX-480,4
Antonov An-28,Mk.I-39,AlphaCore F5,3
Talon 300,B-95,Raptor RT-730,4
Cyclone Sky,Max-76,Rolls-Royce Trent 500,2
Stormchaser ST-21,Max-26,Trent 7000-C3,1
AuroraPeak 7,LR-11,PT6D-31C,2
Eurofighter Typhoon,200-96,StratoEngine C6,2
BAC Strikmaster,200-68,CFM56-7B,4
Solaris Eclipse,B-22,Solaris SX-480,2
F-27 Lancer,Neo-46,Airbus A320neo CFM LEAP-1A,1
AeroEthereal,100-49,PW1500G-F,4
Shenyang J-11,LR-44,Quartz Q-250,1
NebulaVoyager 2,ER-13,CFM56-7B,3
Pietenpol Air Defender,B-46,HelixBoost 210,1
Raptor Zephyr,Mk.I-24,Zenith ZN-330,4
Douglas C-17 Globemaster III,Neo-43,Airbus A350 PW4000,1
MiG-27 Flogger,ER-76,VanguardX 102,1
Airbus H125,ER-58,BetaBoost G2,2
Vanguard Aero 690,Mk.I-26,GE T700-AD-800,2
AuroraFusion 5,Neo-63,GE414,4
Thunderbolt X,B-21,PearlFusion X3,2
ThunderWave 6,LR-79,Honeywell CEO-350,3
Airbus Beluga,Neo-96,Zenith ZN-200,4
Dassault Rafale,Mk.I-99,NimbusCore Delta,3
Tempest 10,Max-92,Pratt & Whitney PW1500GX,4
Handley Page Halifax,Mk.I-1,PulseJet D3,3
Guardian-6,LR-84,PT6D-21B,3
Junkers Ju 87 Stuka,200-2,Rolls-Royce Trent 750,1
Stratos Aero 240,Neo-46,GE90-115B-B,2
Messerschmitt Me 410,Mk.I-62,GE9X-4,1
Yakovlev Yak-40,Max-13,Lycoming O-320,4
Skyward Aero 450,LR-83,Thielert PD 300,2
Antonov An-74,Mk.I-3,Lumen LS-880,3
Silver Storm,A-40,Raptor RT-620,1
Fokker 70,Mk.I-92,Vortex V-1200,2
Pinnacle X,Neo-46,CF6-80E1,1
CyclonePrime 8,B-81,EclipseCore A5,1
Douglas DC-8,A-11,AuroraDrive 302,2
Supermarine Seafire,Neo-40,Javelin J-840,2
Cessna Citation Excel,200-83,AlphaCore F2,4
Piper Seneca V,100-57,Iris IR-990,4
B-66 Destroyer,LR-60,Continental IO-320,1
Bell X-1,Max-40,Jupiter JX-580,4
Thalassa Aero 380,200-8,PW4070,2
Aurora Starfighter,B-96,Trent 800,4
Aurorae 5,Mk.I-56,GE404,3
Orion-1,LR-11,Nimbus NX-470,4
AuroraVoyager,200-91,AeroTech V7-700,2
KAI KF-21 Boramae,Neo-66,MTU V2519,1
Valkyrie Dawn,B-88,NimbusCore Gamma,1
AeroNova 200,100-82,StratoEngine C2,3
Vickers Wellington,Neo-68,PearlFusion X8,3
Piper PA-18 Super Cub,A-12,Xenon X-410,3
Condor C-5,Neo-78,CFM LEAP-2,1
Titan Aero A1,Neo-10,HelixBoost 250,4
AeroBlade 14,Mk.I-74,Javelin J-130,4
ZephyrWave 7,B-77,Lycoming O-430,2
AeroMystic,Mk.I-92,Helios HX-400,1
A-5 Vigilante,Max-43,Quantum Q-880,1
Storm Chaser,Neo-32,Breeze BR-150,3
Grumman F-9F Cougar,100-87,AuroraDrive 302,2
F-43 Phantom,100-5,Helix HX-260,3
AeroMaverick,B-48,GammaPower H5,1
F-111 Aardvark,100-74,Lycoming O-430,2
Nebula Navigator,ER-40,Falcon FT-880,2
Mitsubishi A5M,Max-1,Pratt & Whitney JT8D-200,4
B-52 Stratofortress,200-89,SkyPower 1000,1
Thunderbolt II,ER-67,GammaPower H4,1
Aurora Veil,Max-18,Xenon X-540,2
de Havilland Vampire,200-86,Rolls-Royce Ultrafan-2500,2
North American X-15,200-71,EpsilonCore J2,1
Fairey Gannet,Mk.I-33,NimbusCore Epsilon,4
SkyHawk 210,100-77,GE404,1
SkylineRacer 9,100-72,Quantum Q-430,1
Boeing 710,Max-64,Zenith ZN-960,1
North American P-51D Mustang,Max-62,Continental TSIO-540,3
Stellar Comet,ER-67,Pratt & Whitney PT6,4
Curtiss C-46 Commando,ER-48,Rolls-Royce Ultrafan-3000,1
Dawnwing Aero 500,ER-74,Glide GM-560,1
Guardian-3,B-6,NimbusCore Delta,4
Spectra S-9,100-98,GE90-150-2,4
AuroraCrest 6,Mk.I-53,GE J404-190,2
Griffin Mk2,Neo-91,PW1500G PMT-3,3
Northrop F-5 Tiger II,B-13,Falcon FT-340,4
Piaggio P.180 Avanti,200-77,Nimbus NX-210,3
Perseus Wing,A-48,Raptor RT-450,1
AeroX-101,Neo-64,Delta DX-340,3
Pilatus PC-12,100-65,DCNS Evolution 20,4
AeroOrbit 99,LR-14,GammaPower H5,3
Aeroflot Sukhoi Superjet 100,B-98,MTU V2500-E2,3
Zephyr Whisper,200-99,CFM International LEAP-1E,2
Hawkwing Summit,LR-32,GE9X-5,2
Dawnbreaker D-1,ER-8,AeroTech V2-200,2
Vickers Viscount,Max-25,TitanForce 402,4
AeroRadiant,LR-74,DeltaDrive I2,1
Stallion Fusion,100-79,IAE BR715,3
Helios 20,100-62,TitanForce 402,2
Helios 20,ER-80,Pratt & Whitney JT8D-200,3
Dassault Rafale,ER-76,GE9X-117B-10,1
Cessna 182 Skylane,B-90,Pratt & Whitney F119-PW-100,2
Phoenix Apex,Neo-2,AeroTech V3-300,2
F-56 Orion,B-11,Gale G-330,3
Hawkwing Aurora,Max-57,Vortex V-1200,4
Eclipse-1,LR-61,Airbus EB200,4
Nebula Hawk VII,Neo-85,Dynamo DM-590,1
AeroVibe 45,B-5,Crest CB-620,4
Vanguard Horizon X1,200-77,Rolls-Royce Avon,3
Condor C-210,Max-32,Dart DS-950,4
AeroPinnacle 300,200-12,Continental IO-520,3
Tu-160 Blackjack,Neo-29,GE90-115B-2,1
Mirage 2000,Neo-52,Warden W-590,3
Grumman F8F Bearcat,Neo-29,PulseJet D6,2
Golden Echo,Mk.I-5,QuartzEngine M2,2
Solar Flare,200-65,GE404,3
F-31 Valiant,200-83,VanguardX 106,1
Il-2 Sturmovik,LR-67,Celestial C-730,1
Vortex-12,Mk.I-53,Maverick MV-710,3
Helix Aero Helix-6,B-78,StratoEngine C3,2
Quicksilver Q-200,ER-6,Pratt & Whitney JT15D,2
MiG-23,Mk.I-89,Nimbus NX-310,4
SkyRider 120,B-85,Honeywell HTF7000-2,2
Titanium Eagle,A-23,Lycoming O-360,2
F-93 Horizon III,ER-31,Nimble NF-120,2
Lockheed Martin X-55,A-87,Warden W-480,3
Boeing 710 (fictional),A-38,Titanium Ti-950,2
Van's RV-6,ER-99,AE3000,3
Piaggio Avanti,Max-93,Pratt & Whitney F119-PW-100,3
MiG-21 Fulcrum,A-25,Lycoming O-430,3
F-22 Raptor,A-59,GammaPower H3,4
Vought F4U Corsair,LR-53,BetaBoost G5,1
Eclipse Edge,Neo-57,Helix HX-110,3
Bleriot XI,100-13,CFM56-7D,1
Cessna O-1 Skywaggon,Mk.I-56,AuroraDrive 304,2
SpaceX Starship,Mk.I-86,Safran M90,1
Stratos II,ER-48,GE T700,3
Piper Cub,200-35,Nimbus NX-540,1
Lockheed Martin C-130J Super Hercules,100-79,Aurora AR-320,4
F-72 Vanguard,LR-57,Pratt & Whitney JT8D,3
Boeing 777-300ER,Max-6,ZetaEngine K1,2
Fleet Air Arm Swordfish,Mk.I-71,Helix HX-260,3
AeroGlide 300,A-56,ZenithPower B1,1
Zenith 14,100-65,NebulaDrive E1,3
Boeing B-17 Flying Fortress,B-39,StratoEngine C3,2
Nightingale N-1,200-37,Gale G-330,2
Henschel Hs 129,ER-54,AeroTech V5-500,1
Guardian-7,A-70,ZetaEngine K1,3
NovaJet Falcon,100-53,GE90-115B-C,3
Nebula Navigator,ER-48,TitanForce 404,2
